"","YEAR","TEAM","SEED","KADJ_O","KADJ_D","BARTHAG","WIN_","FTR","TOV_","TOV_D","OREB_","DREB_","X3PT_","X3PT_D","AST_","EXP","ELITE_SOS","WINS","POWER","PATH"
"477",2015,"Valparaiso",13,106.629,95.6594,0.775,83.33333,36.7,19.1,18.6,35,72.4,38.1,33,51.4,1.324,11.044,0,61.4,69.6
"478",2015,"Utah",5,116.433,89.5299,0.951,74.19355,42.8,17.8,18.3,31.3,71.9,40.2,31.6,57.7,1.554,27.56,2,79.2,70.2
"479",2015,"UCLA",11,112.266,98.1315,0.813,60.60606,36.3,17.5,18.5,33.8,71.9,36.3,35.5,54.1,1.187,29.935,2,68,74.4
"480",2015,"UC Irvine",13,105.818,98.9592,0.706,61.29032,31,18,17.3,29.8,69.3,38.3,33.6,56.5,2.025,16.828,0,56.8,79.1
"481",2015,"UAB",14,104.585,101.758,0.54,54.54545,37.2,20.4,19.8,34,66.9,33.2,31.8,59.7,0.971,16.263,1,52.5,78.9
"482",2015,"Texas Southern",15,103.049,106.918,0.36,64.70588,46.5,19.9,18.7,34,65.8,32,34.2,46.6,2.325,17.067,0,48.3,89.5
"483",2015,"Texas",11,112.877,92.759,0.9,60.60606,36.9,20,14.2,38,71,33.9,34.8,55.6,1.625,31.601,0,79.1,73.8
"484",2015,"Stephen F. Austin",12,114.494,100.484,0.801,86.66667,42.4,20.3,24.4,37.7,70.1,38.1,33.6,65,1.923,12.66,0,64.6,77.2
"485",2015,"St. John's",9,110.125,95.8018,0.857,64.51613,36.2,15.7,19.5,27.8,64.6,35.1,32.4,49.3,2.382,32.181,0,63.1,78
"486",2015,"SMU",6,113.524,95.4867,0.867,81.25,44.1,19.7,20,36.9,70.7,36,32.2,63.1,1.991,20.21,0,71.7,72.7
"487",2015,"San Diego St.",8,104.401,88.1829,0.87,75.75758,36.2,18.6,21.5,35.9,69.8,32.1,30.6,47.1,1.819,19.89,1,73.6,72.8
"488",2015,"Robert Morris",16,102.327,103.869,0.421,57.57576,36,20.5,21.7,31.2,64.2,38,33.4,50.4,1.491,11.81,0,49.4,89.2
"489",2015,"Purdue",9,110.824,96.8436,0.853,63.63636,42.5,20,17.8,36.2,68.9,33.5,35,61.3,1.2,29.197,0,64,73.8
"490",2015,"Providence",6,112.954,95.3871,0.88,66.66667,41.6,17.9,19.7,35.3,70.5,31,33.3,57.5,1.423,33.586,0,68.3,69.7
"491",2015,"Oregon",8,114.457,101.273,0.806,72.72727,29.5,17,16.8,30.6,68.3,36.7,33.3,51.4,1.384,26.458,1,63.1,74.2
"492",2015,"Oklahoma St.",9,111.825,95.6458,0.843,56.66667,39.7,18.6,21.2,26.9,66.9,34.6,34.3,50.5,1.99,32.538,0,64.4,71.5
"493",2015,"Oklahoma",3,111.785,87.6854,0.935,68.75,32.7,17.7,20.2,30.9,68.5,34.3,30.9,48.9,1.824,33.364,2,79.5,65.9
"494",2015,"Ohio St.",10,115.312,94.3058,0.916,69.69697,34.8,17,22.1,34.1,68.6,37.2,31.8,55.6,1.599,28.047,1,77.2,74.4
"495",2015,"Notre Dame",3,124.623,100.552,0.927,85.29412,37.1,14.4,17.4,28.1,68.4,39.2,32.9,54.4,1.767,30.379,3,79.9,68.5
"496",2015,"Northern Iowa",5,115.17,94.2192,0.92,90.90909,40.2,18,19.3,26.9,73.1,39.7,31.6,53.6,2.165,17.742,1,71.1,68.2
"497",2015,"Northeastern",14,107.892,103.071,0.653,67.64706,42.2,21.4,15.6,29.6,74.4,38.8,34.4,59.8,1.913,12.624,0,54.1,79.3
"499",2015,"North Dakota St.",15,102.68,102.079,0.489,70,36.2,15.9,16.6,26.5,76.6,37.8,36.4,42.9,1.33,11.808,0,50.6,84.8
"500",2015,"North Carolina St.",8,114.001,98.6377,0.852,60.60606,36.1,16.2,15.4,34.1,69.5,36.1,33.2,46.7,1.343,32.14,2,67.5,73.9
"501",2015,"North Carolina",4,117.921,94.1249,0.95,68.57143,34.7,18.2,17.8,39.9,69.5,34.5,29.8,60.9,1.309,38.128,2,83.1,67
"502",2015,"New Mexico St.",15,106.825,99.8197,0.672,67.74194,44.8,21.9,20.5,39.5,69.3,36.3,29.5,49.9,1.627,12.832,0,58.5,82.8
"503",2015,"Mississippi",11,114.568,100.141,0.816,62.5,37.5,16.9,18.9,35,68.3,33.8,34.9,52.2,2.28,25.591,0,62.7,72.5
"504",2015,"Michigan St.",7,115.973,95.052,0.922,67.64706,31.9,17.9,17,34.6,74,38.6,32.3,64.6,1.848,31.101,4,80.9,73.3
"505",2015,"Maryland",4,111.125,94.9328,0.859,81.81818,44.5,18.4,17.3,29.2,69.6,37.2,31.2,48.6,1.54,29.027,1,69.6,69.7
